"Age" "BB" "FF" "FS" "TC" "Pinus" "Picea" "Betula" "Alnus" "Juniperus" "Salix" "Ericaceae" "Poaceae" "Artemisia" "Cyperaceae" "Sphagnum" "Tree" "ROC"
28 -1.64383181686157 0.00330321615772028 1.18659913970235 10.1107604 64.27184466 8.155339806 22.52427184 1.941747573 0.776699029 0 0.388349515 1.165048544 0.194174757 0.194174757 0.770712909 1290.05915447 0.126372682397288
59 -1.56490286410891 0.00340430010714965 1.15160923224856 9.6425612 65.76923077 5.384615385 24.80769231 1.346153846 0.384615385 0 0.384615385 0.769230769 0.192307692 0.769230769 1.515151515 1165.17662715 0.163877065994745
89.5 -1.48663611942872 0.00349802061966594 1.12530832332119 9.2368424 62.30769231 7.692307692 26.15384615 0.961538462 0 0 1.153846154 0.769230769 0 0.961538462 0.383141762 2840.00679133 0.151317630180107
120 -1.40568742365506 0.00358540535925769 1.10687051276378 8.838244 64.63654224 3.929273084 27.50491159 0.589390963 0.196463654 0 0.589390963 1.571709234 0.196463654 0.392927308 0.779727096 3489.90615136 0.120620046957379
151 -1.32057460568102 0.00366734429803014 1.09512965625921 8.8879656 58.34896811 7.504690432 28.51782364 1.500938086 0.375234522 0.375234522 0.938086304 1.688555347 0.187617261 0.375234522 1.296296296 2774.2735044 0.111035198397203
182 -1.23277424339867 0.00374218933971252 1.08943855925751 9.0251592 61.59844055 5.847953216 30.40935673 0.584795322 0 0 0 1.364522417 0 0 0.388349515 2795.4576657 0.095420774986019
212 -1.14539340773498 0.00380742164057236 1.08918226719084 9.1093192 57.2265625 5.46875 33.0078125 1.171875 0.390625 0 1.171875 0.390625 0.5859375 0.390625 1.348747592 3518.27937332 0.106839795602833
242 -1.05576676554734 0.00386538544907327 1.09364502981623 9.1825672 63.81322957 6.614785992 26.07003891 1.361867704 0.194552529 0 0.389105058 0.972762646 0.194552529 0.389105058 2.281368821 3604.15517356 0.122574048385328
273 -0.96093134539945 0.00391764639702905 1.10279842602972 10.2351833333333 63.32046332 6.756756757 26.64092664 1.351351351 0.386100386 0 0.193050193 0.965250965 0 0.386100386 0.384615385 3464.13723582 0.103325749457433
303.5 -0.865574872281088 0.00396125834677305 1.11614821725909 9.4622987012987 57.52895753 9.652509653 30.30888031 0.579150579 0 0 0.193050193 0.965250965 0.386100386 0.193050193 1.707779886 3077.58115013 0.101963703888269
332.5 -0.773153959435319 0.00399556143201668 1.13267431624761 9.257056 59.96204934 11.19544592 25.99620493 0.948766603 0.189753321 0 0 1.138519924 0 0.569259962 0.753295669 3923.55117004 0.116749207357191
362 -0.67753840215799 0.00402350044988165 1.15313390049895 9.3223336 57.05996132 7.930367505 31.33462282 0.967117988 0.386847195 0 0.580270793 0.580270793 0 0.773694391 1.335877863 2817.53400487 0.133384010062963
393 -0.577992186344589 0.00404516058696034 1.17777226490751 9.3340216 53.73134328 6.71641791 33.95522388 1.679104478 0.373134328 0 0 1.305970149 0.186567164 0.186567164 2.010968921 3230.92169738 0.17559353546863
423 -0.485438703503898 0.00405890481862268 1.20365192781578 9.3055576 54.19847328 5.152671756 35.11450382 2.099236641 0.763358779 0 0.763358779 1.145038168 0 0.190839695 1.132075472 3467.24889569 0.148655734713248
453.5 -0.395757858041229 0.00406595706034387 1.23182179212147 9.1984624 61.22047244 2.952755906 31.1023622 1.181102362 0.393700787 0 0.393700787 0.787401575 0 0.196850394 2.681992337 3659.62004714 0.0889166039495951
482.5 -0.31512565767525 0.00406632192971466 1.26030991537493 9.029288 51.19047619 4.761904762 38.49206349 0.992063492 1.388888889 0.198412698 0.595238095 0.992063492 0.198412698 0.595238095 1.754385965 2514.68177449 0.119392042512886
512 -0.238286472486791 0.00406069609839501 1.29084581836121 9.365575 57.00757576 10.03787879 27.27272727 2.462121212 0.757575758 0 0.568181818 0.568181818 0 1.325757576 1.492537313 2980.62442577 0.160005355906536
542 -0.166054400550794 0.00404925692324403 1.32329296725226 10.4615125 54.49330784 8.604206501 32.6959847 1.7208413 0.573613767 0 0.191204589 0.382409178 0.191204589 1.147227533 2.60707635 3257.46399767 0.187845088264435
573 -0.0982726715380161 0.00403164595174382 1.35820961900252 10.2224207792208 53.25670498 11.68582375 32.18390805 0.957854406 0.191570881 0 0 1.149425287 0.191570881 0.191570881 2.063789869 3823.9295174 0.165693968892704
603.5 -0.0389457944035635 0.0040091582381086 1.3936667588411 9.66332012987013 59.31558935 12.54752852 24.33460076 1.140684411 0.380228137 0 0.760456274 0.760456274 0 0.760456274 1.865671642 4984.29433716 0.155264176269247
633 0.010941684613032 0.00398309779910594 1.42870075965271 9.2976672 54.91651206 14.47124304 26.716141 1.669758813 0.371057514 0 0.927643785 0 0.556586271 0.371057514 2 3086.70620297 0.163972615013462
662 0.0522446422442974 0.00395370705975949 1.46362497507595 9.4008608 54.08921933 15.24163569 28.62453532 0.92936803 0 0 0.371747212 0.185873606 0.185873606 0.371747212 1.102941176 3952.38964927 0.176618938253086
691 0.0848025621791087 0.00392111904062286 1.49844489751793 9.5040544 53.98058252 6.213592233 33.39805825 1.359223301 0 0 1.941747573 2.330097087 0 0.194174757 1.717557252 3210.49591219 0.217850810114913
722 0.10924998425631 0.00388331919232876 1.53505259563153 9.6143648 59.40594059 3.366336634 34.65346535 0.792079208 0 0 0.594059406 0.198019802 0.198019802 0.198019802 1.559454191 3518.27937295 0.154451951873446
