"Age" "BB" "FF" "FS" "TC" "LW" "MeanArea" "Pinus" "Picea" "Betula" "Alnus" "Juniperus" "Salix" "Ericaceae" "Poaceae" "Artemisia" "Cyperaceae" "Sphagnum" "Tree" "ROC"
130 -0.6736542726334 0.00404391711639754 1.1440579523368 8.795028 0 0.0163 55.15873016 20.63492063 22.02380952 0.992063492 0 0 0.396825397 0.198412698 0.198412698 0 0.591715976 3085.15888502 0.0413673212024859
326 -0.609924930255117 0.00453593064583923 0.95737374993315 9.2426728 0 0.0169 58.76494024 17.52988048 21.51394422 0.199203187 0 0 0.796812749 0.597609562 0 0.199203187 0.594059406 3015.562889164 0.0447147347230608
424 -0.703763327743281 0.00466351252440462 0.888335320384867 9.3046088 0 0.0191 54.27435388 20.67594433 21.27236581 0.994035785 0.596421471 0 0.795228628 0.795228628 0.198807157 0.198807157 0.592885375 2086.92206775 0.0653379268328516
521 -0.843529309582075 0.00471837140674619 0.833026974825901 9.69435625 0 0.0689 49.40239044 17.72908367 29.88047809 0.996015936 0.398406375 0.199203187 0.996015936 0.398406375 0 0 1.37524558 3015.56288882 0.0600383865003669
621.5 -0.967293506884759 0.00471444679992469 0.79989816086842 9.33335909090909 0.5 0.0278 52.64187867 15.26418787 27.39726027 0.978473581 0.782778865 0.195694716 0.782778865 0.978473581 0.391389432 0.195694716 1.730769231 2779.04815268 0.0544572172976359
719 -1.0291585529689 0.00467020882785127 0.794829209766015 9.6036896 1 0.02795 53.57142857 17.46031746 24.00793651 2.182539683 0.396825397 0 1.19047619 0.793650794 0 0.396825397 1.176470588 1907.50421132 0.0680556040732766
814 -1.00149186664058 0.00460799817111834 0.820365116483439 10.7614666666667 0 0.0448 61.30952381 14.68253968 21.42857143 0.793650794 0.396825397 0 0.793650794 0.396825397 0 0 0.198019802 8387.98070526 0.0654703173907094
953 -0.836281093016492 0.00451884437855303 0.896234336161077 9.4875888 0 0.03105 57.68463074 14.97005988 25.1497006 0.798403194 0 0 0.598802395 0.598802395 0.199600798 0 0.988142292 2659.95513829 0.0607430438535221
1051 -0.706176958988868 0.00447684055463289 0.949472164856717 9.75575420025833 0 0.0337 60 15.24752475 22.77227723 0.396039604 0 0.198019802 0.99009901 0.396039604 0 0 1.559454191 2651.32992853 0.0598502419519214
1096 -0.660645763640426 0.00446617707047641 0.967036138133854 10.7718 0 0.12675 58.3011583 13.51351351 26.64092664 0.965250965 0.193050193 0.193050193 0 0 0 0.193050193 0.766283525 2336.33249263 0.0694308957317759
