"AGE","LocFit","MEAN(of_boot)","0.05","0.95"
-70,-1.89334915136999,-1.89334915136999,-1.89334915136999,-1.89334915136999
-60,-1.86788819886913,-1.86788819886913,-1.86788819886913,-1.86788819886913
-50,-1.84242724636827,-1.84242724636827,-1.84242724636827,-1.84242724636827
-40,-1.81696629386741,-1.81696629386741,-1.81696629386741,-1.81696629386741
-30,-1.79150534136655,-1.79150534136655,-1.79150534136655,-1.79150534136655
-20,-1.76604438886569,-1.76604438886569,-1.76604438886569,-1.76604438886569
-10,-1.74058343636483,-1.74058343636483,-1.74058343636483,-1.74058343636483
0,-1.71512248386397,-1.71512248386397,-1.71512248386397,-1.71512248386397
10,-1.68966153136311,-1.68966153136311,-1.68966153136311,-1.68966153136311
20,-1.66420057886226,-1.66420057886226,-1.66420057886226,-1.66420057886226
30,-1.6387396263614,-1.6387396263614,-1.6387396263614,-1.6387396263614
40,-1.61327867386054,-1.61327867386054,-1.61327867386054,-1.61327867386054
50,-1.58781772135968,-1.58781772135968,-1.58781772135968,-1.58781772135968
60,-1.56235676885882,-1.56235676885882,-1.56235676885882,-1.56235676885882
70,-1.53689581635796,-1.53689581635796,-1.53689581635796,-1.53689581635796
80,-1.51127538054502,-1.51127538054502,-1.51127538054502,-1.51127538054502
90,-1.48533931621207,-1.48533931621207,-1.48533931621207,-1.48533931621207
100,-1.45909263051529,-1.45909263051529,-1.45909263051529,-1.45909263051529
110,-1.43254033061089,-1.43254033061089,-1.43254033061089,-1.43254033061089
120,-1.40568742365506,-1.40568742365506,-1.40568742365506,-1.40568742365506
130,-1.378538916804,-1.378538916804,-1.378538916804,-1.378538916804
140,-1.35109981721391,-1.35109981721391,-1.35109981721391,-1.35109981721391
150,-1.32337513204098,-1.32337513204098,-1.32337513204098,-1.32337513204098
160,-1.2953698684414,-1.2953698684414,-1.2953698684414,-1.2953698684414
170,-1.26708903357139,-1.26708903357139,-1.26708903357139,-1.26708903357139
180,-1.23853763458713,-1.23853763458713,-1.23853763458713,-1.23853763458713
190,-1.20972067864482,-1.20972067864482,-1.20972067864482,-1.20972067864482
200,-1.18064317290065,-1.18064317290065,-1.18064317290065,-1.18064317290065
210,-1.15131012451084,-1.15131012451084,-1.15131012451084,-1.15131012451084
220,-1.12172654063156,-1.12172654063156,-1.12172654063156,-1.12172654063156
230,-1.09189742841903,-1.09189742841903,-1.09189742841903,-1.09189742841903
240,-1.06182779502943,-1.06182779502943,-1.06182779502943,-1.06182779502943
250,-1.03152264761896,-1.03152264761896,-1.03152264761896,-1.03152264761896
260,-1.00098699334382,-1.00098699334382,-1.00098699334382,-1.00098699334382
270,-0.970225839360216,-0.970225839360216,-0.970225839360216,-0.970225839360216
280,-0.939244192824331,-0.939244192824331,-0.939244192824331,-0.939244192824331
290,-0.908047060892368,-0.908047060892368,-0.908047060892368,-0.908047060892368
300,-0.876639450720523,-0.876639450720523,-0.876639450720523,-0.876639450720523
310,-0.845026369464994,-0.845026369464994,-0.845026369464994,-0.845026369464994
320,-0.813212824281977,-0.813212824281977,-0.813212824281977,-0.813212824281977
330,-0.781203822327669,-0.781203822327669,-0.781203822327669,-0.781203822327669
340,-0.749004370758268,-0.749004370758268,-0.749004370758268,-0.749004370758268
350,-0.716619476729971,-0.716619476729971,-0.716619476729971,-0.716619476729971
360,-0.684054147398973,-0.684054147398973,-0.684054147398973,-0.684054147398973
370,-0.65147542119406,-0.65147542119406,-0.65147542119406,-0.65147542119406
380,-0.619252748921591,-0.619252748921591,-0.619252748921591,-0.619252748921591
390,-0.587419287847826,-0.587419287847826,-0.587419287847826,-0.587419287847826
400,-0.555995616170368,-0.555995616170368,-0.555995616170368,-0.555995616170368
410,-0.525002312086818,-0.525002312086818,-0.525002312086818,-0.525002312086818
420,-0.494459953794777,-0.494459953794777,-0.494459953794777,-0.494459953794777
430,-0.464389119491847,-0.464389119491847,-0.464389119491847,-0.464389119491847
440,-0.43481038737563,-0.43481038737563,-0.43481038737563,-0.43481038737563
450,-0.405744335643725,-0.405744335643725,-0.405744335643725,-0.405744335643725
460,-0.377211542493736,-0.377211542493736,-0.377211542493736,-0.377211542493736
470,-0.349232586123264,-0.349232586123264,-0.349232586123264,-0.349232586123264
480,-0.321828044729909,-0.321828044729909,-0.321828044729909,-0.321828044729909
490,-0.295018496511273,-0.295018496511273,-0.295018496511273,-0.295018496511273
500,-0.268824519664958,-0.268824519664958,-0.268824519664958,-0.268824519664958
510,-0.243266692388565,-0.243266692388565,-0.243266692388565,-0.243266692388565
520,-0.218365592879695,-0.218365592879695,-0.218365592879695,-0.218365592879695
530,-0.19414179933595,-0.19414179933595,-0.19414179933595,-0.19414179933595
540,-0.170615889954932,-0.170615889954931,-0.170615889954931,-0.170615889954931
550,-0.14780844293424,-0.14780844293424,-0.14780844293424,-0.14780844293424
560,-0.125740036471478,-0.125740036471478,-0.125740036471478,-0.125740036471478
570,-0.104431248764246,-0.104431248764246,-0.104431248764246,-0.104431248764246
580,-0.0839026580101463,-0.0839026580101464,-0.0839026580101464,-0.0839026580101464
590,-0.0641748424067795,-0.0641748424067794,-0.0641748424067794,-0.0641748424067794
600,-0.0452683801517472,-0.0452683801517473,-0.0452683801517473,-0.0452683801517473
610,-0.027203849442651,-0.027203849442651,-0.027203849442651,-0.027203849442651
620,-0.0100018284770921,-0.0100018284770921,-0.0100018284770921,-0.0100018284770921
630,0.00631710454732809,0.00631710454732809,0.00631710454732809,0.00631710454732809
640,0.0217323714330079,0.0217323714330079,0.0217323714330079,0.0217323714330079
650,0.0362233939823464,0.0362233939823464,0.0362233939823464,0.0362233939823464
660,0.0497516670139637,0.0497516670139637,0.0497516670139637,0.0497516670139637
670,0.0622165431656322,0.0622165431656322,0.0622165431656322,0.0622165431656322
680,0.0735972473361149,0.0735972473361149,0.0735972473361149,0.0735972473361149
690,0.083884200012247,0.083884200012247,0.083884200012247,0.083884200012247
700,0.0930678216808638,0.0930678216808639,0.0930678216808639,0.0930678216808639
710,0.101138532828801,0.101138532828801,0.101138532828801,0.101138532828801
720,0.108086753942893,0.108086753942893,0.108086753942893,0.108086753942893
730,0.113902905509976,0.113902905509976,0.113902905509976,0.113902905509976
740,0.118577408016884,0.118577408016884,0.118577408016884,0.118577408016884
