"AGE","LocFit","MEAN(of_boot)","0.05","0.95"
-70,-0.980013771368346,-0.980013771368347,-0.980013771368347,-0.980013771368347
-60,-0.96458318779362,-0.96458318779362,-0.96458318779362,-0.96458318779362
-50,-0.949152604218893,-0.949152604218893,-0.949152604218893,-0.949152604218893
-40,-0.933722020644166,-0.933722020644166,-0.933722020644166,-0.933722020644166
-30,-0.91829143706944,-0.91829143706944,-0.91829143706944,-0.91829143706944
-20,-0.902860853494713,-0.902860853494713,-0.902860853494713,-0.902860853494713
-10,-0.887430269919986,-0.887430269919986,-0.887430269919986,-0.887430269919986
0,-0.871999686345259,-0.871999686345259,-0.871999686345259,-0.871999686345259
10,-0.856569102770533,-0.856569102770533,-0.856569102770533,-0.856569102770533
20,-0.841138519195806,-0.841138519195806,-0.841138519195806,-0.841138519195806
30,-0.825707935621079,-0.825707935621079,-0.825707935621079,-0.825707935621079
40,-0.810277352046353,-0.810277352046353,-0.810277352046353,-0.810277352046353
50,-0.794846768471626,-0.794846768471626,-0.794846768471626,-0.794846768471626
60,-0.779416184896899,-0.779416184896899,-0.779416184896899,-0.779416184896899
70,-0.763985601322173,-0.763985601322173,-0.763985601322173,-0.763985601322173
80,-0.748555017747446,-0.748555017747446,-0.748555017747446,-0.748555017747446
90,-0.733124434172719,-0.733124434172719,-0.733124434172719,-0.733124434172719
100,-0.717693850597992,-0.717693850597992,-0.717693850597992,-0.717693850597992
110,-0.702263267023266,-0.702263267023266,-0.702263267023266,-0.702263267023266
120,-0.68739811389253,-0.68739811389253,-0.68739811389253,-0.68739811389253
130,-0.6736542726334,-0.673654272633401,-0.673654272633401,-0.673654272633401
140,-0.661017419721315,-0.661017419721315,-0.661017419721315,-0.661017419721315
150,-0.649473231631709,-0.649473231631709,-0.649473231631709,-0.649473231631709
160,-0.639007384840021,-0.63900738484002,-0.63900738484002,-0.63900738484002
170,-0.629605555821686,-0.629605555821686,-0.629605555821686,-0.629605555821686
180,-0.621253421052143,-0.621253421052143,-0.621253421052143,-0.621253421052143
190,-0.613936657006827,-0.613936657006827,-0.613936657006827,-0.613936657006827
200,-0.607640940161177,-0.607640940161177,-0.607640940161177,-0.607640940161177
210,-0.602351946990628,-0.602351946990628,-0.602351946990628,-0.602351946990628
220,-0.598055353970618,-0.598055353970618,-0.598055353970618,-0.598055353970618
230,-0.594736837576583,-0.594736837576583,-0.594736837576583,-0.594736837576583
240,-0.592382074283961,-0.592382074283962,-0.592382074283962,-0.592382074283962
250,-0.590976740568189,-0.590976740568189,-0.590976740568189,-0.590976740568189
260,-0.590506512904703,-0.590506512904702,-0.590506512904702,-0.590506512904702
270,-0.59095706776894,-0.59095706776894,-0.59095706776894,-0.59095706776894
280,-0.592314081636337,-0.592314081636337,-0.592314081636337,-0.592314081636337
290,-0.594563230982331,-0.594563230982331,-0.594563230982331,-0.594563230982331
300,-0.597690192282359,-0.597690192282359,-0.597690192282359,-0.597690192282359
310,-0.601680642011859,-0.601680642011859,-0.601680642011859,-0.601680642011859
320,-0.606520256646266,-0.606520256646266,-0.606520256646266,-0.606520256646266
330,-0.612194712661018,-0.612194712661018,-0.612194712661018,-0.612194712661018
340,-0.618689686531551,-0.618689686531551,-0.618689686531551,-0.618689686531551
350,-0.625990854733303,-0.625990854733303,-0.625990854733303,-0.625990854733303
360,-0.634083893741711,-0.634083893741711,-0.634083893741711,-0.634083893741711
370,-0.642954480032211,-0.642954480032211,-0.642954480032211,-0.642954480032211
