SampleId;SEEDLE;ObjectId#;ProjArea;StraightLength;CurvedLength;StraightWidth;CurvedWidth;Curvature;VolCircle;VolEllipsoid;VolRectangle;VolConstPerim;SurfAreaCircle;SurfAreaEllipsoid;SurfAreaRectangle;SurfAreaConstPerim;SurfAreaPropPerim;WLRatio;HorizPosition;VertPosition;ProjPerimeter;ProjFormCoeff
1;SEEDLE;1;0.0291;0.6051;0.6065;0.0654;0.0680;0.0167;0.0011;0.0001;0.0001;0.0000;0.0907;0.0645;0.0635;0.0006;0.0289;0.1080;4.0851;1.7576;1.3469;0.2012
3;SEEDLE;1;0.0236;0.2504;0.2928;0.1401;0.1766;0.0971;0.0022;0.0002;0.0003;0.0000;0.0814;0.0579;0.0570;0.0003;0.0259;0.5596;3.4872;1.2663;0.7564;0.5195
3.5;SEEDLE;1;0.0747;0.5805;0.5888;0.1830;0.1839;0.0641;0.0082;0.0008;0.0010;0.0000;0.2348;0.1669;0.1644;0.0006;0.0747;0.3152;3.9168;1.9384;1.4503;0.4463
4.5;SEEDLE;1;0.0513;0.3273;0.3322;0.2143;0.2121;0.0310;0.0070;0.0007;0.0009;0.0000;0.1610;0.1144;0.1127;0.0003;0.0512;0.6547;3.3937;1.4930;0.9023;0.7916
5.5;SEEDLE;1;0.1134;0.8889;0.9072;0.1934;0.1907;0.0735;0.0121;0.0012;0.0015;0.0000;0.3513;0.2496;0.2460;0.0009;0.1118;0.2176;4.2001;2.1240;2.2446;0.2828
6.5;SEEDLE;1;0.0389;0.3906;0.4013;0.1193;0.1173;0.0580;0.0031;0.0003;0.0004;0.0000;0.1220;0.0867;0.0854;0.0004;0.0388;0.3055;3.4876;1.4086;0.9631;0.5267
8;SEEDLE;1;0.0967;0.6063;0.6262;0.2351;0.2403;0.0643;0.0136;0.0014;0.0017;0.0000;0.3057;0.2173;0.2141;0.0006;0.0973;0.3878;4.1464;1.3632;1.5077;0.5346
9;SEEDLE;1;0.0310;0.5890;0.5926;0.0678;0.0714;0.0172;0.0013;0.0001;0.0002;0.0000;0.0953;0.0677;0.0668;0.0006;0.0303;0.1151;3.7793;1.8785;1.3659;0.2091
9.5;SEEDLE;1;0.0619;0.4280;0.4345;0.1955;0.1928;0.0235;0.0077;0.0008;0.0010;0.0000;0.1957;0.1391;0.1371;0.0004;0.0623;0.4568;4.1490;2.0760;1.0851;0.6604
9.5;SEEDLE;2;0.0550;0.7532;0.8415;0.1179;0.1033;0.2148;0.0032;0.0003;0.0004;0.0000;0.1719;0.1222;0.1204;0.0008;0.0547;0.1566;4.8443;1.7150;1.9090;0.1897
9.5;SEEDLE;3;0.0204;0.2395;0.2606;0.1355;0.1319;0.0959;0.0017;0.0002;0.0002;0.0000;0.0657;0.0467;0.0460;0.0003;0.0209;0.5659;4.7119;2.1514;0.6295;0.6461
10;SEEDLE;1;0.0192;0.2158;0.2284;0.1416;0.1415;0.1330;0.0017;0.0002;0.0002;0.0000;0.0632;0.0449;0.0442;0.0002;0.0201;0.6560;3.8957;1.9491;0.6175;0.6323
10.5;SEEDLE;1;0.0150;0.3689;0.4301;0.0695;0.0688;0.2611;0.0005;0.0001;0.0001;0.0000;0.0476;0.0338;0.0333;0.0004;0.0151;0.1884;3.8497;1.7489;0.9940;0.1909
10.5;SEEDLE;2;0.0206;0.4716;0.4767;0.0643;0.0643;0.0135;0.0008;0.0001;0.0001;0.0000;0.0644;0.0457;0.0451;0.0005;0.0205;0.1363;3.9636;2.1377;1.0727;0.2245
11;SEEDLE;1;0.0139;0.3209;0.3241;0.0609;0.0609;0.0507;0.0005;0.0001;0.0001;0.0000;0.0436;0.0310;0.0305;0.0003;0.0139;0.1897;4.0847;1.8364;0.7334;0.3244
12;SEEDLE;1;0.0327;0.4091;0.4953;0.1662;0.3895;0.2533;0.0031;0.0003;0.0004;0.0000;0.1139;0.0809;0.0798;0.0005;0.0363;0.4063;4.4168;2.0647;1.2340;0.2698
12.5;SEEDLE;1;0.0349;0.5254;0.5412;0.1095;0.1079;0.0514;0.0020;0.0002;0.0003;0.0000;0.1097;0.0779;0.0768;0.0005;0.0349;0.2084;3.7407;1.7160;1.2246;0.2923
12.5;SEEDLE;2;0.0409;0.4721;0.4791;0.1457;0.1453;0.0396;0.0034;0.0003;0.0004;0.0000;0.1289;0.0916;0.0903;0.0005;0.0410;0.3087;3.7967;2.3121;1.1490;0.3892
12.5;SEEDLE;3;0.0508;0.3664;0.3752;0.2632;0.2622;0.0175;0.0049;0.0005;0.0006;0.0000;0.1385;0.0985;0.0970;0.0004;0.0441;0.7183;4.2179;2.0522;1.3582;0.3463
13;SEEDLE;1;0.0111;0.2918;0.2934;0.0515;0.0489;0.0220;0.0004;0.0000;0.0000;0.0000;0.0349;0.0248;0.0245;0.0003;0.0111;0.1766;3.4787;1.6226;0.6428;0.3388
13;SEEDLE;2;0.0044;0.1535;0.1544;0.0447;0.0467;0.0294;0.0001;0.0000;0.0000;0.0000;0.0136;0.0097;0.0095;0.0002;0.0043;0.2913;3.6183;1.9917;0.3727;0.3946
13;SEEDLE;3;0.0305;0.3422;0.3771;0.1742;0.1709;0.1364;0.0023;0.0002;0.0003;0.0000;0.0944;0.0671;0.0661;0.0004;0.0300;0.5092;3.8483;1.9329;1.0937;0.3207
13.5;SEEDLE;1;0.1741;1.7566;1.8752;0.1952;0.1556;0.1476;0.0137;0.0014;0.0017;0.0000;0.5483;0.3896;0.3839;0.0019;0.1745;0.1111;3.9373;1.8666;4.3980;0.1131
13.5;SEEDLE;2;0.0136;0.4491;0.4513;0.1282;0.1493;0.0226;0.0005;0.0000;0.0001;0.0000;0.0403;0.0286;0.0282;0.0005;0.0128;0.2853;3.5856;3.0008;1.2164;0.1151
14;SEEDLE;1;0.0526;0.4170;0.4326;0.1476;0.1684;0.0436;0.0053;0.0005;0.0007;0.0000;0.1619;0.1151;0.1134;0.0004;0.0515;0.3539;3.9332;2.3578;1.0878;0.5583
14.5;SEEDLE;1;0.0308;0.8587;0.8615;0.0736;0.0805;0.0167;0.0007;0.0001;0.0001;0.0000;0.0825;0.0586;0.0578;0.0009;0.0263;0.0857;4.8151;2.4729;2.4414;0.0648
15;SEEDLE;1;0.0147;0.6105;0.6126;0.0718;0.0705;0.0266;0.0003;0.0000;0.0000;0.0000;0.0464;0.0330;0.0325;0.0006;0.0148;0.1176;3.6214;1.8797;1.4311;0.0902
15.5;SEEDLE;1;0.6018;2.1763;2.2261;0.5971;0.6754;0.0582;0.1407;0.0141;0.0179;0.0000;1.8545;1.3179;1.2987;0.0022;0.5903;0.2744;3.8140;2.5726;6.6521;0.1709
15.5;SEEDLE;2;0.0975;1.0802;1.0971;0.1788;0.1796;0.0568;0.0084;0.0008;0.0011;0.0000;0.3059;0.2174;0.2142;0.0011;0.0974;0.1655;4.4598;1.4785;2.4414;0.2056
15.5;SEEDLE;3;0.0090;0.3806;0.3823;0.0389;0.0353;0.0266;0.0002;0.0000;0.0000;0.0000;0.0287;0.0204;0.0201;0.0004;0.0091;0.1021;4.8676;2.7247;0.7856;0.1843
16;SEEDLE;1;0.1596;0.8929;0.9106;0.2844;0.2811;0.0366;0.0247;0.0025;0.0031;0.0000;0.5018;0.3566;0.3514;0.0009;0.1597;0.3185;4.4579;2.2547;2.1123;0.4496
16;SEEDLE;2;0.2194;1.5023;1.6059;0.2502;0.2371;0.1330;0.0263;0.0026;0.0033;0.0000;0.6880;0.4890;0.4818;0.0016;0.2190;0.1666;5.7865;2.5437;3.6231;0.2100
16;SEEDLE;3;0.0052;0.2008;0.2062;0.0408;0.0428;0.0506;0.0001;0.0000;0.0000;0.0000;0.0165;0.0117;0.0115;0.0002;0.0052;0.2032;6.1702;1.7715;0.4417;0.3363
17;SEEDLE;1;0.0741;0.6008;0.6475;0.1914;0.1873;0.0525;0.0079;0.0008;0.0010;0.0000;0.2307;0.1639;0.1615;0.0006;0.0734;0.3185;3.5631;2.8295;1.6781;0.3306
17;SEEDLE;2;0.0566;1.7984;1.8074;0.0489;0.0489;0.0159;0.0015;0.0001;0.0002;0.0000;0.1778;0.1263;0.1245;0.0018;0.0566;0.0272;4.0850;2.0801;3.9479;0.0456
17;SEEDLE;3;0.0284;0.5134;0.5154;0.0728;0.0728;0.0125;0.0013;0.0001;0.0002;0.0000;0.0889;0.0632;0.0622;0.0005;0.0283;0.1418;3.9487;2.4318;1.1709;0.2601
21;SEEDLE;1;0.0767;1.0520;1.1635;0.1154;0.1013;0.1767;0.0043;0.0004;0.0006;0.0000;0.2408;0.1711;0.1686;0.0012;0.0766;0.1097;4.1969;2.8778;2.5378;0.1496
21;SEEDLE;2;0.1654;0.6156;0.6586;0.3815;0.3809;0.0529;0.0429;0.0043;0.0055;0.0000;0.5526;0.3927;0.3869;0.0007;0.1759;0.6196;4.2766;3.4694;1.8512;0.6065
21;SEEDLE;3;0.0354;0.3715;0.3768;0.1296;0.1260;0.0172;0.0028;0.0003;0.0004;0.0000;0.1110;0.0789;0.0777;0.0004;0.0353;0.3489;4.5721;2.5534;0.9328;0.5110
21;SEEDLE;4;0.0510;0.7668;0.8354;0.1031;0.0930;0.1938;0.0025;0.0003;0.0003;0.0000;0.1582;0.1124;0.1108;0.0008;0.0503;0.1344;4.8626;2.0318;1.8887;0.1796
21;SEEDLE;5;0.1122;0.7680;0.7748;0.1961;0.1926;0.0345;0.0138;0.0014;0.0018;0.0000;0.3525;0.2505;0.2469;0.0008;0.1122;0.2553;5.0901;2.9359;1.7934;0.4385
21;SEEDLE;6;0.0478;0.4380;0.4514;0.1502;0.1496;0.0921;0.0044;0.0004;0.0006;0.0000;0.1512;0.1075;0.1059;0.0005;0.0481;0.3430;5.5792;3.4807;1.0660;0.5289
21.5;SEEDLE;1;0.0294;0.5935;0.5990;0.0749;0.0650;0.0170;0.0012;0.0001;0.0002;0.0000;0.0925;0.0657;0.0648;0.0006;0.0294;0.1262;4.4252;1.8905;1.3891;0.1917
22;SEEDLE;1;0.0331;0.3787;0.3872;0.1361;0.1401;0.0377;0.0025;0.0002;0.0003;0.0000;0.1032;0.0734;0.0723;0.0004;0.0329;0.3595;3.1088;1.9675;0.9674;0.4440
22;SEEDLE;2;0.0364;0.2446;0.2703;0.2217;0.2304;0.1575;0.0054;0.0005;0.0007;0.0000;0.1260;0.0896;0.0883;0.0003;0.0401;0.9064;3.4049;1.7575;0.7983;0.7171
22;SEEDLE;3;0.0189;0.2644;0.2834;0.0894;0.0914;0.0870;0.0011;0.0001;0.0001;0.0000;0.0606;0.0431;0.0425;0.0003;0.0193;0.3381;3.5819;2.4136;0.6892;0.5011
