Depth;Age;Pinus;Picea;Betula;Alnus;Juniperus;Acer;Ulmus;Quercus;Empetrum Nigrum;Vaccinium;Salix;Ericaceae;Corylus;Fraxinus;Tilia;Calluna;Poaceae;Moneses;Thalictrum;Viola Polustris;Philipendula;Artemisia;Urtica;Humulus;Asteraceae;Chenopodiaceae;Rumex Acetosa;Apiaceae;Trifolium;Plantago major media;Rosaceae;Ranunculus acris;Gallium;Saxifraga;Epilobium;Cyperaceae;Lycopodium annotinum;Sphagnum;Driopteris;Typha;Potamogen;Nymphar;Isoetes;Charcoal;Fungi hyphae;Pinus + Fungi;FeS2;Ustilagum;Meliola;Glomus;Helicoon Ellipticum;Cercophora;Neurospora;;Betula pollen Coroded;POLLEN SUM;Sedimentation rate;Lycopodium count;Lycopodium tab added;Lycopodium per tablet;Lyc batch No.;Sample vol. ml
0.5;-34;567.8110802;104.3640303;191.0392419;10.61329122;3.53776374;0;0;0;0;0;0;5.306645609;0;0;0;0;3.53776374;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.76888187;0;1.76888187;5.306645609;0;0;0;0;84.90632975;134.4350221;1.76888187;5.306645609;0;0;0;0;0;0;0;0;887.9786986;;;;;;
1;-3;799.8048074;162.9696316;300.8670122;15.04335061;5.014450203;0;0;0;0;0;0;5.014450203;0;0;0;0;5.014450203;0;0;0;2.507225101;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40.11560162;0;0;0;0;0;172.998532;215.6213587;0;5.014450203;0;0;0;0;0;0;0;0;1296.235377;;;;;;
1.5;28;855.7306215;108.5821332;299.8935109;25.85288887;10.34115555;0;0;2.585288887;0;0;0;5.170577773;0;0;0;0;15.51173332;0;0;0;0;2.585288887;0;0;0;0;0;2.585288887;0;0;0;0;0;0;0;2.585288887;0;10.34115555;0;0;0;0;2.585288887;152.5320443;227.505422;0;12.92644443;0;0;0;0;0;0;0;0;1331.423777;;;;;;
2;59;787.5304476;64.476177;297.0509583;16.11904425;4.605441214;0;0;0;0;0;0;4.605441214;0;0;0;2.302720607;9.210882428;0;0;0;0;2.302720607;0;0;0;0;0;0;0;0;0;0;0;0;0;9.210882428;0;18.42176486;2.302720607;0;0;0;0;128.952354;175.0067661;0;2.302720607;0;0;0;0;0;0;0;0;1197.414716;;;;;;
2.5;89.5;1822.103367;224.951033;764.8335122;28.11887913;0;0;0;0;0;0;0;33.74265495;0;0;0;0;22.4951033;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28.11887913;0;11.24755165;5.623775825;0;0;0;0;269.9412396;837.9425979;0;5.623775825;0;0;0;0;0;0;0;0;2924.363429;;;;;;
3;120;2333.697406;141.8661037;993.0627261;21.27991556;7.093305187;0;0;0;0;0;0;21.27991556;0;7.093305187;0;0;56.74644149;0;0;7.093305187;0;7.093305187;0;0;0;0;0;0;0;0;0;0;0;0;0;14.18661037;0;28.37322075;0;0;0;0;0;446.8782268;1198.768577;0;7.093305187;0;0;0;0;0;0;0;0;3610.49234;;;;;;
3.5;151;1688.452172;217.1642665;825.2242126;43.4328533;10.85821332;0;0;0;0;0;10.85821332;27.14553331;0;0;0;0;48.86195996;0;0;0;0;5.429106662;0;0;0;0;5.429106662;0;0;0;0;0;0;0;0;10.85821332;0;38.00374663;0;0;0;0;5.429106662;320.3172931;906.6608126;21.71642665;21.71642665;0;0;5.429106662;5.429106662;0;0;0;0;2893.713851;;;;;;
4;182;1749.236876;166.066792;863.5473185;16.6066792;0;0;0;0;0;0;0;0;5.535559734;0;0;0;38.74891814;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.535559734;11.07111947;0;0;0;0;0;260.1713075;874.6184379;0;11.07111947;0;0;0;0;0;0;0;0;2839.742143;;;;;;
4.5;212;2078.33842;198.6125452;1198.768577;42.55983112;14.18661037;0;0;0;0;0;0;42.55983112;7.093305187;0;0;0;14.18661037;0;0;0;0;21.27991556;0;0;0;0;0;0;0;0;0;0;0;0;0;14.18661037;0;49.65313631;7.093305187;0;0;0;0;695.1439083;1106.555609;0;21.27991556;0;0;0;0;0;0;0;0;3631.772255;;;;;;
5;242;2350.224447;243.6208269;960.1526706;50.15722906;7.165318437;0;0;0;0;0;0;14.33063687;0;0;0;0;35.82659219;0;0;0;0;7.165318437;0;0;0;0;0;0;0;0;0;0;0;0;0;14.33063687;0;85.98382125;0;0;0;0;0;752.3584359;938.6567153;0;28.66127375;0;0;0;0;0;0;0;0;3682.973677;;;;;;
5.5;273;2236.687034;238.6708726;941.0451547;47.73417452;13.63833558;0;0;0;0;0;0;6.819167788;0;0;0;0;34.09583894;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13.63833558;6.819167788;13.63833558;0;0;0;0;0;436.4267384;736.4701211;0;6.819167788;0;0;0;0;0;0;0;0;3532.328914;;;;;;
6;303.5;1805.352722;302.9115305;951.1422058;18.17469183;0;0;0;0;0;0;0;6.05823061;0;0;0;0;30.29115305;0;0;0;0;12.11646122;0;6.05823061;0;0;0;0;0;0;0;0;0;0;0;6.05823061;0;54.52407549;0;0;0;0;0;636.114214;720.9294426;0;6.05823061;0;0;0;0;0;0;0;0;3138.163456;;;;;;
6.5;332.5;2398.14733;447.7553559;1039.703115;37.94536914;7.589073829;0;0;0;0;0;0;0;0;0;0;0;45.53444297;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22.76722149;0;30.35629531;0;0;0;0;0;440.1662821;1047.292188;0;30.35629531;0;0;0;0;0;0;0;0;3999.441908;;;;;;
7;362;1652.43048;229.6598294;907.4363992;28.00729627;11.20291851;0;5.601459254;0;0;0;0;16.80437776;0;0;0;5.601459254;16.80437776;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22.40583702;5.601459254;39.21021478;5.601459254;0;0;0;5.601459254;296.8773405;834.6174289;0;0;0;0;0;0;0;0;0;0;2895.954435;;;;;;
7.5;393;1806.806697;225.8508371;1141.801454;56.46270928;12.54726873;0;0;6.273634365;31.36817182;0;0;0;6.273634365;0;0;6.273634365;43.91544055;0;0;0;0;6.273634365;0;0;6.273634365;0;0;0;6.273634365;0;0;0;0;0;0;6.273634365;0;69.00997801;6.273634365;0;0;0;0;150.5672248;1010.055133;0;25.09453746;6.273634365;0;0;0;0;0;0;0;3362.66802;;;;;;
8;423;1946.044835;185.0113047;1260.81778;75.37497599;27.40908218;0;0;0;13.70454109;0;0;27.40908218;0;0;0;0;41.11362327;0;0;0;0;0;0;0;0;0;6.852270544;0;0;0;0;0;0;0;0;6.852270544;13.70454109;41.11362327;0;0;0;0;0;287.7953629;1205.999616;0;27.40908218;0;0;0;0;0;0;0;0;3590.589765;;;;;;
8.5;453.5;2322.738438;112.0291851;1180.04075;44.81167404;14.93722468;0;0;0;29.87444936;0;0;14.93722468;0;0;0;22.40583702;29.87444936;0;7.468612339;0;0;0;0;0;0;7.468612339;0;0;0;0;0;0;0;0;0;7.468612339;0;104.5605727;0;7.468612339;0;0;0;209.1211455;1172.572137;0;0;0;0;0;0;0;0;0;0;3794.055068;;;;;;
9;482.5;1348.831388;125.4726873;1014.237556;26.14014319;36.59620046;0;0;5.228028637;0;0;5.228028637;15.68408591;0;0;0;5.228028637;26.14014319;0;0;0;5.228028637;5.228028637;0;0;0;0;0;0;0;0;0;0;0;0;0;15.68408591;0;47.05225774;0;0;0;0;0;339.8218614;841.7126106;0;0;0;0;0;0;0;0;0;0;2634.926433;;;;;;
9.5;512;1755.710278;309.1449992;839.9411299;75.82801867;23.33169805;0;0;0;0;0;0;17.49877354;0;0;0;0;17.49877354;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40.83047159;0;46.6633961;0;0;0;0;11.66584903;291.6462256;816.6094318;0;5.832924513;0;0;0;0;0;0;0;0;3079.784143;;;;;;
10;542;1820.347528;287.4232939;1092.208517;57.48465877;19.16155292;0;0;0;0;0;0;6.387184308;0;0;0;0;12.77436862;0;0;0;0;6.387184308;0;0;0;0;0;0;0;0;0;0;0;0;0;38.32310585;0;89.42058032;0;0;0;0;25.54873723;491.8131917;830.3339601;0;31.93592154;0;0;6.387184308;0;0;0;0;0;3340.497393;;;;;;
