sample.id;depth;age;Pinus;Picea;Betula;Alnus;Juniperus;Salix;Ericaceae;Poaceae;Artemisia;Cyperaceae;Sphagnum
1;0.5;-34;63.94422311;11.75298805;21.51394422;1.195219124;0.398406375;0;0.597609562;0.398406375;0;0.199203187;0.198807157
2;1;-3;61.70212766;12.57253385;23.21083172;1.160541586;0.386847195;0;0.386847195;0.386847195;0;0;3.001876173
3;1.5;28;64.27184466;8.155339806;22.52427184;1.941747573;0.776699029;0;0.388349515;1.165048544;0.194174757;0.194174757;0.770712909
4;2;59;65.76923077;5.384615385;24.80769231;1.346153846;0.384615385;0;0.384615385;0.769230769;0.192307692;0.769230769;1.515151515
5;2.5;89.5;62.30769231;7.692307692;26.15384615;0.961538462;0;0;1.153846154;0.769230769;0;0.961538462;0.383141762
6;3;120;64.63654224;3.929273084;27.50491159;0.589390963;0.196463654;0;0.589390963;1.571709234;0.196463654;0.392927308;0.779727096
7;3.5;151;58.34896811;7.504690432;28.51782364;1.500938086;0.375234522;0.375234522;0.938086304;1.688555347;0.187617261;0.375234522;1.296296296
8;4;182;61.59844055;5.847953216;30.40935673;0.584795322;0;0;0;1.364522417;0;0;0.388349515
9;4.5;212;57.2265625;5.46875;33.0078125;1.171875;0.390625;0;1.171875;0.390625;0.5859375;0.390625;1.348747592
10;5;242;63.81322957;6.614785992;26.07003891;1.361867704;0.194552529;0;0.389105058;0.972762646;0.194552529;0.389105058;2.281368821
11;5.5;273;63.32046332;6.756756757;26.64092664;1.351351351;0.386100386;0;0.193050193;0.965250965;0;0.386100386;0.384615385
12;6;303.5;57.52895753;9.652509653;30.30888031;0.579150579;0;0;0.193050193;0.965250965;0.386100386;0.193050193;1.707779886
13;6.5;332.5;59.96204934;11.19544592;25.99620493;0.948766603;0.189753321;0;0;1.138519924;0;0.569259962;0.753295669
14;7;362;57.05996132;7.930367505;31.33462282;0.967117988;0.386847195;0;0.580270793;0.580270793;0;0.773694391;1.335877863
15;7.5;393;53.73134328;6.71641791;33.95522388;1.679104478;0.373134328;0;0;1.305970149;0.186567164;0.186567164;2.010968921
16;8;423;54.19847328;5.152671756;35.11450382;2.099236641;0.763358779;0;0.763358779;1.145038168;0;0.190839695;1.132075472
17;8.5;453.5;61.22047244;2.952755906;31.1023622;1.181102362;0.393700787;0;0.393700787;0.787401575;0;0.196850394;2.681992337
18;9;482.5;51.19047619;4.761904762;38.49206349;0.992063492;1.388888889;0.198412698;0.595238095;0.992063492;0.198412698;0.595238095;1.754385965
19;9.5;512;57.00757576;10.03787879;27.27272727;2.462121212;0.757575758;0;0.568181818;0.568181818;0;1.325757576;1.492537313
20;10;542;54.49330784;8.604206501;32.6959847;1.7208413;0.573613767;0;0.191204589;0.382409178;0.191204589;1.147227533;2.60707635
21;10.5;573;53.25670498;11.68582375;32.18390805;0.957854406;0.191570881;0;0;1.149425287;0.191570881;0.191570881;2.063789869
22;11;603.5;59.31558935;12.54752852;24.33460076;1.140684411;0.380228137;0;0.760456274;0.760456274;0;0.760456274;1.865671642
23;11.5;633;54.91651206;14.47124304;26.716141;1.669758813;0.371057514;0;0.927643785;0;0.556586271;0.371057514;2
24;12;662;54.08921933;15.24163569;28.62453532;0.92936803;0;0;0.371747212;0.185873606;0.185873606;0.371747212;1.102941176
25;12.5;691;53.98058252;6.213592233;33.39805825;1.359223301;0;0;1.941747573;2.330097087;0;0.194174757;1.717557252
26;13;722;59.40594059;3.366336634;34.65346535;0.792079208;0;0;0.594059406;0.198019802;0.198019802;0.198019802;1.559454191
27;13.5;754;55.3816047;3.522504892;35.81213307;1.369863014;0.195694716;0.195694716;0.391389432;0.782778865;0;1.761252446;0.776699029
28;14;782.5;58.01980198;5.544554455;30.2970297;0.594059406;1.188118812;0;0;2.772277228;0.198019802;0.396039604;1.750972763
29;14.5;814;56.01503759;13.72180451;26.12781955;1.127819549;0.37593985;0;1.315789474;0.187969925;0.187969925;0.939849624;1.84501845
30;15;855;53.34572491;10.78066914;30.29739777;0.743494424;0.557620818;0;2.230483271;0.557620818;0.185873606;0.92936803;2.359346642
31;15.5;909;56;14.66666667;24;1.333333333;0.761904762;0;1.333333333;0.761904762;0.571428571;0.380952381;1.869158879
32;16;963;52.83018868;13.96226415;28.86792453;1.886792453;0;0;0.754716981;0.377358491;0.188679245;1.132075472;1.669758813
33;16.5;1016.5;64;9.714285714;24;0.380952381;0.19047619;0;0.952380952;0.571428571;0;0.19047619;3.846153846
34;17;1065;62.47619048;11.42857143;21.9047619;0.761904762;0.571428571;0;1.523809524;0.19047619;0.380952381;0.761904762;1.685393258
35;17.5;1116.5;55.40796964;14.80075901;26.18595825;0.948766603;0.569259962;0;0.759013283;0.569259962;0.189753321;0.569259962;1.495327103
36;18;1168;60.48237477;17.99628942;18.36734694;0.371057514;0;0;0.927643785;0.371057514;0.185528757;1.298701299;2.882882883
37;18.5;1217;60.60037523;13.8836773;22.13883677;1.125703565;0;0;0.750469043;0.375234522;0;0.938086304;0.559701493
38;19;1268;56.84803002;12.57035647;25.70356473;0.938086304;0.375234522;0;1.313320826;0.938086304;0.187617261;0.562851782;1.660516605
39;19.5;1320.5;60.49149338;14.5557656;21.55009452;0.56710775;0;0;0.56710775;0.378071834;0.189035917;1.701323251;1.305970149
40;20;1374;58.79017013;15.31190926;22.11720227;1.323251418;0.378071834;0;0.756143667;0.56710775;0;0.56710775;1.305970149
41;20.5;1427;59.62264151;13.77358491;23.77358491;0.566037736;0.188679245;0;0.566037736;0.754716981;0.188679245;0.566037736;0.562851782
42;21;1477;54.69924812;15.03759398;26.87969925;0.939849624;0;0;1.127819549;0.563909774;0.187969925;0.563909774;2.025782689
43;21.5;1528;56.22641509;16.98113208;22.64150943;1.320754717;0;0;1.509433962;0.566037736;0;0.566037736;2.21402214
44;22;1580;57.2778828;14.36672968;24.57466919;1.323251418;0;0;1.134215501;0.56710775;0;0.378071834;1.489757914
45;22.5;1633;58.33333333;15.74074074;21.85185185;1.296296296;0.555555556;0;1.296296296;0.185185185;0.185185185;0.37037037;2.350813743
46;23;1684;57.95246801;17.00182815;21.20658135;1.279707495;0;0;1.462522852;0.548446069;0;0.548446069;1.441441441
47;23.5;1734.5;54.04411765;18.19852941;24.63235294;0.735294118;0.367647059;0;0.367647059;0.183823529;0;1.102941176;1.090909091
48;24;1785.5;57.89473684;14.84962406;24.81203008;1.315789474;0.187969925;0;0.37593985;0.37593985;0;0.187969925;1.115241636
49;24.5;1835;53.14183124;16.15798923;25.13464991;2.333931777;0.359066427;0;1.615798923;0.718132855;0;0.538599641;1.241134752
50;25;1889;54.59558824;21.69117647;19.66911765;1.838235294;0.367647059;0;1.102941176;0.183823529;0;0.551470588;0.910746812
51;25.5;1943;55.10204082;17.62523191;23.56215213;0.927643785;0;0;0.927643785;0.742115028;0.185528757;0.742115028;1.821493625
52;26;1981;54.89833641;21.44177449;20.70240296;0.924214418;0;0;0.554528651;0.739371534;0;0.554528651;1.277372263
53;26.5;2008;60.14625229;14.44241316;21.20658135;1.096892139;0.182815356;0;0.731261426;0.365630713;0.182815356;0.914076782;2.146690519
54;27;2034;54.18250951;16.34980989;27.75665399;0.760456274;0;0;0.190114068;0.380228137;0;0.190114068;1.682242991
55;27.5;2061;53.93258427;21.16104869;22.65917603;0.74906367;0;0;0.936329588;0.187265918;0;0.187265918;2.909090909
56;28;2086;61.20527307;18.45574388;18.07909605;0.753295669;0;0;0.188323917;0.376647834;0;0.753295669;1.117318436
57;28.5;2112.5;51.54826958;19.48998179;25.31876138;0.910746812;0;0;0.546448087;1.275045537;0.182149362;0.72859745;0.902527076
58;29;2137;49.63099631;22.1402214;24.1697417;1.47601476;0.36900369;0;0.553505535;0.73800738;0;0.922509225;1.275045537
59;29.5;2165;51.01289134;21.1786372;23.75690608;1.289134438;0.184162063;0;1.473296501;0.552486188;0;0.552486188;1.451905626
60;30;2191;51.96998124;19.51219512;25.70356473;0.750469043;0.187617261;0;0.938086304;0;0.375234522;0.375234522;2.737226277
61;30.5;2217;51.69172932;16.54135338;27.44360902;1.691729323;0.187969925;0;1.315789474;0.563909774;0;0.563909774;3.096539162
62;31;2243.5;54.77941176;15.80882353;26.28676471;1.102941176;0;0;0.919117647;0.735294118;0;0.367647059;2.683363148
63;31.5;2273;54.98154982;17.34317343;24.53874539;1.660516605;0;0;0.36900369;0.36900369;0;0.73800738;3.90070922
64;36.5;2529;52.71028037;14.76635514;27.6635514;1.308411215;0.186915888;0;1.682242991;0.560747664;0;0.747663551;2.372262774
65;37;2557.5;56.71077505;12.85444234;26.27599244;1.512287335;0;0;1.134215501;0.756143667;0.189035917;0.378071834;2.218114603
66;37.5;2585;57.24907063;13.01115242;27.69516729;0.557620818;0;0;0.557620818;0.185873606;0;0.557620818;2.536231884
67;38;2611.5;49.20634921;21.03174603;26.38888889;0.595238095;0.396825397;0;0.595238095;0.595238095;0.396825397;0.595238095;2.325581395
68;38.5;2639;48.28244275;17.9389313;29.77099237;1.335877863;0.190839695;0;0.763358779;1.145038168;0;0.381679389;2.23880597
