Depth;Age;Pinus;Picea;Betula;Alnus;Juniperus;Acer;Ulmus;Quercus;Empetrum Nigrum;Vaccinium;Salix;Ericaceae;Corylus;Fraxinus;Tilia;Calluna;Poaceae;Moneses;Thalictrum;Viola Polustris;Philipendula;Artemisia;Urtica;Humulus;Asteraceae;Chenopodiaceae;Rumex Acetosa;Apiaceae;Trifolium;Plantago major media;Rosaceae;Ranunculus acris;Gallium;Saxifraga;Epilobium;Cyperaceae;Lycopodium annotinum;Sphagnum;Driopteris;Typha;Potamogen;Nymphar;Isoetes;Charcoal;Fungi hyphae;Pinus + Fungi;FeS2;Ustilagum;Meliola;Glomus;Helicoon Ellipticum;Cercophora;Neurospora;;Betula pollen Coroded;POLLEN SUM;Sedimentation rate;Lycopodium count;Lycopodium tab added;Lycopodium per tablet;Lyc batch No.;Sample vol. ml
0.5;-34;63.94422311;11.75298805;21.51394422;1.195219124;0.398406375;0;0;0;0;0;0;0.597609562;0;0;0;0;0.398406375;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.199203187;0;0.198807157;0.594059406;0;0;0;0;8.727272727;13.14878893;0.198807157;0.594059406;0;0;0;0;0;0;0;0;;;;;;;
1;-3;61.70212766;12.57253385;23.21083172;1.160541586;0.386847195;0;0;0;0;0;0;0.386847195;0;0;0;0;0.386847195;0;0;0;0.193423598;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.001876173;0;0;0;0;0;11.77474403;14.26202322;0;0.385356455;0;0;0;0;0;0;0;0;;;;;;;
1.5;28;64.27184466;8.155339806;22.52427184;1.941747573;0.776699029;0;0;0.194174757;0;0;0;0.388349515;0;0;0;0;1.165048544;0;0;0;0;0.194174757;0;0;0;0;0;0.194174757;0;0;0;0;0;0;0;0.194174757;0;0.770712909;0;0;0;0;0.19379845;10.27874564;14.59369818;0;0.961538462;0;0;0;0;0;0;0;0;;;;;;;
2;59;65.76923077;5.384615385;24.80769231;1.346153846;0.384615385;0;0;0;0;0;0;0.384615385;0;0;0;0.192307692;0.769230769;0;0;0;0;0.192307692;0;0;0;0;0;0;0;0;0;0;0;0;0;0.769230769;0;1.515151515;0.19193858;0;0;0;0;9.722222222;12.75167785;0;0.19193858;0;0;0;0;0;0;0;0;;;;;;;
2.5;89.5;62.30769231;7.692307692;26.15384615;0.961538462;0;0;0;0;0;0;0;1.153846154;0;0;0;0;0.769230769;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.961538462;0;0.383141762;0.19193858;0;0;0;0;8.450704225;22.27204783;0;0.19193858;0;0;0;0;0;0;0;0;;;;;;;
3;120;64.63654224;3.929273084;27.50491159;0.589390963;0.196463654;0;0;0;0;0;0;0.589390963;0;0.196463654;0;0;1.571709234;0;0;0.196463654;0;0.196463654;0;0;0;0;0;0;0;0;0;0;0;0;0;0.392927308;0;0.779727096;0;0;0;0;0;11.01398601;24.92625369;0;0.196078431;0;0;0;0;0;0;0;0;;;;;;;
3.5;151;58.34896811;7.504690432;28.51782364;1.500938086;0.375234522;0;0;0;0;0;0.375234522;0.938086304;0;0;0;0;1.688555347;0;0;0;0;0.187617261;0;0;0;0;0.187617261;0;0;0;0;0;0;0;0;0.375234522;0;1.296296296;0;0;0;0;0.187265918;9.966216216;23.85714286;0.744878957;0.744878957;0;0;0.187265918;0.187265918;0;0;0;0;;;;;;;
4;182;61.59844055;5.847953216;30.40935673;0.584795322;0;0;0;0;0;0;0;0;0.194931774;0;0;0;1.364522417;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.194552529;0.388349515;0;0;0;0;0;8.392857143;23.54694486;0;0.388349515;0;0;0;0;0;0;0;0;;;;;;;
4.5;212;57.2265625;5.46875;33.0078125;1.171875;0.390625;0;0;0;0;0;0;1.171875;0.1953125;0;0;0;0.390625;0;0;0;0;0.5859375;0;0;0;0;0;0;0;0;0;0;0;0;0;0.390625;0;1.348747592;0.194931774;0;0;0;0;16.06557377;23.35329341;0;0.582524272;0;0;0;0;0;0;0;0;;;;;;;
5;242;63.81322957;6.614785992;26.07003891;1.361867704;0.194552529;0;0;0;0;0;0;0.389105058;0;0;0;0;0.972762646;0;0;0;0;0.194552529;0;0;0;0;0;0;0;0;0;0;0;0;0;0.389105058;0;2.281368821;0;0;0;0;0;16.9628433;20.31007752;0;0.772200772;0;0;0;0;0;0;0;0;;;;;;;
5.5;273;63.32046332;6.756756757;26.64092664;1.351351351;0.386100386;0;0;0;0;0;0;0.193050193;0;0;0;0;0.965250965;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.386100386;0.192678227;0.384615385;0;0;0;0;0;10.99656357;17.25239617;0;0.192678227;0;0;0;0;0;0;0;0;;;;;;;
6;303.5;57.52895753;9.652509653;30.30888031;0.579150579;0;0;0;0;0;0;0;0.193050193;0;0;0;0;0.965250965;0;0;0;0;0.386100386;0;0.193050193;0;0;0;0;0;0;0;0;0;0;0;0.193050193;0;1.707779886;0;0;0;0;0;16.85393258;18.68131868;0;0.192678227;0;0;0;0;0;0;0;0;;;;;;;
6.5;332.5;59.96204934;11.19544592;25.99620493;0.948766603;0.189753321;0;0;0;0;0;0;0;0;0;0;0;1.138519924;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.569259962;0;0.753295669;0;0;0;0;0;9.914529915;20.7518797;0;0.753295669;0;0;0;0;0;0;0;0;;;;;;;
7;362;57.05996132;7.930367505;31.33462282;0.967117988;0.386847195;0;0.193423598;0;0;0;0;0.580270793;0;0;0;0.193423598;0.580270793;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.773694391;0.193050193;1.335877863;0.193050193;0;0;0;0.193050193;9.298245614;22.37237237;0;0;0;0;0;0;0;0;0;0;;;;;;;
7.5;393;53.73134328;6.71641791;33.95522388;1.679104478;0.373134328;0;0;0.186567164;0.932835821;0;0;0;0.186567164;0;0;0.186567164;1.305970149;0;0;0;0;0.186567164;0;0;0.186567164;0;0;0;0.186567164;0;0;0;0;0;0;0.186567164;0;2.010968921;0.186219739;0;0;0;0;4.285714286;23.0989957;0;0.740740741;0.186219739;0;0;0;0;0;0;0;;;;;;;
