Depth;Age;Pinus;Picea;Betula;Alnus;Juniperus;Acer;Ulmus;Quercus;Empetrum Nigrum;Vaccinium;Salix;Ericaceae;Corylus;Fraxinus;Tilia;Calluna;Poaceae;Moneses;Thalictrum;Viola Polustris;Philipendula;Artemisia;Urtica;Humulus;Asteraceae;Chenopodiaceae;Rumex Acetosa;Apiaceae;Trifolium;Plantago major media;Rosaceae;Ranunculus acris;Brasicaceae;Gallium;Saxifraga;Epilobium;Cyperaceae;Lycopodium annotinum;Sphagnum;Driopteris;Typha;Potamogen;Nymphar;Isoetes;Charcoal;Fungi hyphae;Pinus + Fungi;FeS2;Ustilagum;Meliola;Glomus;Helicoon Ellipticum;Neurospora;Cercophora;Selaginella;plantago lanceolate;Gelasinospora;drosera rotundifolia;Pinus 1/2;Picea 1/2;Betula Coroded;POLLEN SUM;Sediment accrate;Lycopodium count;Lycopodium tab added;Lycopodium per tablet;Lyc batch No.;Sample vol., ml;Sample thickness, cm
1;32.5;927.8600221;388.5623197;308.1701156;30.14707653;6.69935034;0;0;0;0;0;0;10.04902551;0;0;0;0;3.34967517;0;0;0;3.34967517;0;0;0;3.34967517;0;0;0;0;0;0;0;0;0;0;0;10.04902551;0;13.39870068;13.39870068;0;0;0;0;93.79090476;314.869466;0;3.34967517;0;0;0;0;0;0;0;0;0;0;797.2226904;294.7714149;0;1691.585961;;;;;;;
1.5;82;993.3519469;472.8355267;460.9153034;31.7872623;15.89363115;0;0;0;0;0;0;3.973407788;0;0;0;0;3.973407788;0;0;0;0;3.973407788;0;3.973407788;0;0;3.973407788;0;0;0;0;0;0;0;0;0;3.973407788;3.973407788;19.86703894;3.973407788;0;0;0;0;218.5374283;460.9153034;0;0;0;0;0;0;0;0;0;0;0;0;802.6283731;341.7130697;0;1998.624117;;;;;;;
2;130;1722.237289;644.290209;687.6558962;30.97549082;0;0;0;0;0;0;0;12.39019633;0;6.195098164;0;0;6.195098164;0;0;0;0;6.195098164;0;6.195098164;0;0;0;0;0;0;0;0;0;0;0;0;0;6.195098164;18.58529449;0;0;0;0;0;662.8755035;1077.94708;0;0;0;0;0;0;0;0;0;0;0;0;1139.898062;396.4862825;0;3122.329474;;;;;;;
2.5;179;1404.64891;428.5369556;490.4367381;19.04608692;9.523043458;0;0;0;0;0;0;19.04608692;0;0;0;0;9.523043458;0;0;0;0;4.761521729;0;0;4.761521729;0;0;0;0;0;4.761521729;0;0;4.761521729;0;0;4.761521729;0;14.28456519;4.761521729;0;0;0;0;376.1602166;809.4586939;0;0;0;0;0;0;0;0;0;0;0;0;780.8895636;304.7373907;0;2404.568473;;;;;;;
3;228;1591.526852;576.1441292;633.1881024;22.81758928;28.5219866;0;0;0;0;0;0;11.40879464;0;0;0;0;17.11319196;0;0;0;0;5.704397319;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.40879464;0;34.22638391;5.704397319;0;0;0;0;564.7353346;975.4519415;0;0;0;0;0;0;0;0;0;0;0;0;1072.426696;433.5341962;11.40879464;2897.833838;;;;;;;
3.5;277.5;1515.045673;560.1401256;570.8094614;37.34267504;10.66933573;0;0;0;0;0;0;5.334667863;0;0;0;0;5.334667863;0;0;5.334667863;0;5.334667863;0;0;5.334667863;0;0;0;0;0;0;0;0;0;0;0;5.334667863;0;32.00800718;0;0;0;0;0;490.7894434;954.9055475;0;5.334667863;0;0;0;0;0;0;0;0;0;0;1077.602908;384.0960861;0;2726.015278;;;;;;;
4;326;1808.111895;539.368972;661.9528293;6.129192864;0;0;0;0;0;0;0;24.51677146;0;0;0;0;18.38757859;0;0;6.129192864;0;0;0;6.129192864;0;0;0;0;0;0;0;0;0;0;0;0;6.129192864;0;18.38757859;6.129192864;0;0;0;0;649.6944436;1035.833594;0;6.129192864;0;0;0;0;0;0;0;0;0;0;1127.771487;318.7180289;6.129192864;3076.854818;;;;;;;
4.5;375;1697.786423;563.8857435;686.4696008;49.03354291;12.25838573;0;0;0;0;0;0;30.64596432;0;0;0;0;24.51677146;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.129192864;6.129192864;30.64596432;12.25838573;0;0;0;0;649.6944436;1078.737944;0;0;0;0;0;0;0;0;0;0;0;0;1115.513101;355.4931861;0;3070.725625;;;;;;;
5;424;1165.091461;443.8443662;456.6475691;21.33867145;12.80320287;0;4.267734291;0;0;0;0;17.07093716;0;0;0;0;17.07093716;0;0;0;0;4.267734291;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.267734291;0;12.80320287;0;0;0;0;0;277.4027289;661.498815;0;4.267734291;0;0;0;0;0;0;0;0;0;0;879.1532638;273.1349946;0;2146.670348;;;;;;;
5.5;473;1472.972255;527.2262315;690.2858907;27.17660987;0;0;0;10.87064395;0;0;0;16.30596592;0;0;0;0;5.435321974;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.435321974;0;32.61193184;5.435321974;0;0;0;0;510.9202655;983.7932773;0;0;0;0;0;0;0;0;0;0;0;0;1054.452463;304.3780305;0;2755.708241;;;;;;;
6;521;1520.03983;545.4981649;919.3789296;30.64596432;12.25838573;0;0;0;0;0;6.129192864;30.64596432;0;0;0;0;12.25838573;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.90435005;0;0;0;0;0;649.6944436;1072.608751;0;0;0;0;0;0;0;0;0;0;0;0;931.6373153;330.9764147;0;3076.854818;;;;;;;
6.5;570;1573.316661;526.2855027;598.3035188;22.15938959;11.07969479;0;0;0;0;0;0;16.61954219;5.539847396;0;0;0;16.61954219;0;0;0;0;5.539847396;0;0;0;5.539847396;0;0;0;0;0;0;0;0;0;0;0;0;38.77893177;0;0;0;0;0;531.82535;952.8537522;0;0;0;0;0;0;0;0;0;0;0;0;908.534973;299.1517594;5.539847396;2781.003393;;;;;;;
7;621.5;1519.438929;440.5808047;790.7860597;28.24235928;22.59388742;0;0;0;0;0;5.648471855;22.59388742;0;0;0;0;28.24235928;0;0;0;0;11.29694371;0;0;0;0;0;0;0;0;11.29694371;0;0;0;0;0;5.648471855;0;50.8362467;5.648471855;0;0;0;0;553.5502418;1022.373406;0;0;0;0;0;0;0;0;0;0;0;0;1095.80354;293.7205365;0;2886.369118;;;;;;;
7.5;671;1591.255214;488.3507381;647.4762595;16.46126083;0;0;0;0;0;0;0;21.94834778;0;0;0;0;0;0;0;0;0;5.487086945;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16.46126083;0;0;0;0;0;521.2732598;899.882259;0;0;0;0;0;0;0;0;0;0;0;0;1229.107476;296.302695;0;2770.978907;;;;;;;
8;719;1051.073749;342.5721849;471.0367543;42.82152312;7.785731476;0;0;0;0;0;0;23.35719443;0;0;0;0;15.57146295;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.785731476;0;23.35719443;0;0;0;0;0;202.4290184;603.3941894;0;0;0;0;0;0;0;0;0;0;0;0;848.6447309;186.8575554;0;1962.004332;;;;;;;
8.5;766.5;1734.561581;551.6273578;710.9863722;36.77515718;6.129192864;0;0;0;0;0;0;36.77515718;0;0;0;0;6.129192864;0;0;6.129192864;0;0;0;0;0;0;0;0;0;0;6.129192864;0;0;0;0;0;0;0;24.51677146;0;0;0;0;0;649.6944436;1097.125523;0;0;0;0;0;0;0;0;0;0;0;0;1409.714359;318.7180289;0;3095.242396;;;;;;;
9;814;5236.13341;1253.960752;1830.104881;67.78166226;33.89083113;0;0;0;0;0;0;67.78166226;0;0;0;0;33.89083113;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16.94541557;0;0;0;0;0;0;16.94541557;33.89083113;0;0;0;0;2812.938984;3101.011048;0;0;0;0;0;0;0;0;0;0;0;0;4338.026385;745.5982849;16.94541557;8540.489445;;;;;;;
9.5;860;1587.114016;391.3431821;695.7212126;16.30596592;0;0;0;0;0;0;0;32.61193184;0;0;0;0;5.435321974;0;0;5.435321974;0;5.435321974;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32.61193184;10.87064395;0;0;0;0;510.9202655;972.9226333;0;0;0;0;0;0;0;0;0;0;0;0;1391.442425;217.412879;0;2739.402275;;;;;;;
10;906;1403.428007;359.4745422;659.8573788;24.62154398;9.848617593;0;0;0;0;0;0;14.77292639;0;0;0;0;4.924308797;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.924308797;0;19.69723519;0;0;0;0;0;408.7176301;871.602657;0;0;0;0;0;0;0;0;0;0;0;0;1043.953465;206.8209695;0;2481.851634;;;;;;;
