Depth;Age;Pinus;Picea;Betula;Alnus;Juniperus;Acer;Ulmus;Quercus;Empetrum Nigrum;Vaccinium;Salix;Ericaceae;Corylus;Fraxinus;Tilia;Calluna;Poaceae;Moneses;Thalictrum;Viola Polustris;Philipendula;Artemisia;Urtica;Humulus;Asteraceae;Chenopodiaceae;Rumex Acetosa;Apiaceae;Trifolium;Plantago major media;Rosaceae;Ranunculus acris;Brasicaceae;Gallium;Saxifraga;Epilobium;Cyperaceae;Lycopodium annotinum;Sphagnum;Driopteris;Typha;Potamogen;Nymphar;Isoetes;Charcoal;Fungi hyphae;Pinus + Fungi;FeS2;Ustilagum;Meliola;Glomus;Helicoon Ellipticum;Neurospora;Cercophora;Selaginella;plantago lanceolate;Gelasinospora;drosera rotundifolia;Pinus 1/2;Picea 1/2;Betula Coroded;POLLEN SUM;Sediment accrate;Lycopodium count;Lycopodium tab added;Lycopodium per tablet;Lyc batch No.;Sample vol., ml;Sample thickness, cm
1;32.5;54.85148515;22.97029703;18.21782178;1.782178218;0.396039604;0;0;0;0;0;0;0.594059406;0;0;0;0;0.198019802;0;0;0;0.198019802;0;0;0;0.198019802;0;0;0;0;0;0;0;0;0;0;0;0.594059406;0;0.785854617;0.785854617;0;0;0;0;5.253283302;15.69282137;0;0.197628458;0;0;0;0;0;0;0;0;0;0;32.03230148;14.83979764;0;;;;;;;;
1.5;82;49.70178926;23.65805169;23.06163022;1.590457256;0.795228628;0;0;0;0;0;0;0.198807157;0;0;0;0;0.198807157;0;0;0;0;0.198807157;0;0.198807157;0;0;0.198807157;0;0;0;0;0;0;0;0;0;0.198807157;0.198412698;0.984251969;0.198412698;0;0;0;0;9.856630824;18.73990307;0;0;0;0;0;0;0;0;0;0;0;0;28.65248227;14.60101868;0;;;;;;;;
2;130;55.15873016;20.63492063;22.02380952;0.992063492;0;0;0;0;0;0;0;0.396825397;0;0.198412698;0;0;0.198412698;0;0;0;0;0.198412698;0;0.198412698;0;0;0;0;0;0;0;0;0;0;0;0;0;0.198019802;0.591715976;0;0;0;0;0;17.51227496;25.66371681;0;0;0;0;0;0;0;0;0;0;0;0;26.74418605;11.26760563;0;;;;;;;;
2.5;179;58.41584158;17.82178218;20.3960396;0.792079208;0.396039604;0;0;0;0;0;0;0.792079208;0;0;0;0;0.396039604;0;0;0;0;0.198019802;0;0;0.198019802;0;0;0;0;0;0.198019802;0;0;0.198019802;0;0;0.198019802;0;0.590551181;0.197628458;0;0;0;0;13.52739726;25.18518519;0;0;0;0;0;0;0;0;0;0;0;0;24.5142003;11.24780316;0;;;;;;;;
3;228;54.92125984;19.88188976;21.8503937;0.787401575;0.984251969;0;0;0;0;0;0;0.393700787;0;0;0;0;0.590551181;0;0;0;0;0.196850394;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.393700787;0;1.167315175;0.196463654;0;0;0;0;16.30971993;25.18409426;0;0;0;0;0;0;0;0;0;0;0;0;27.01149425;13.01369863;0.392156863;;;;;;;;
3.5;277.5;55.57729941;20.54794521;20.93933464;1.369863014;0.391389432;0;0;0;0;0;0;0.195694716;0;0;0;0;0.195694716;0;0;0.195694716;0;0.195694716;0;0;0.195694716;0;0;0;0;0;0;0;0;0;0;0;0.195694716;0;1.160541586;0;0;0;0;0;15.25704809;25.94202899;0;0.1953125;0;0;0;0;0;0;0;0;0;0;28.33099579;12.34991424;0;;;;;;;;
4;326;58.76494024;17.52988048;21.51394422;0.199203187;0;0;0;0;0;0;0;0.796812749;0;0;0;0;0.597609562;0;0;0.199203187;0;0;0;0.199203187;0;0;0;0;0;0;0;0;0;0;0;0;0.199203187;0;0.594059406;0.198807157;0;0;0;0;17.43421053;25.18628912;0;0.198807157;0;0;0;0;0;0;0;0;0;0;26.82215743;9.386281588;0.198807157;;;;;;;;
4.5;375;55.28942116;18.36327345;22.35528942;1.596806387;0.399201597;0;0;0;0;0;0;0.998003992;0;0;0;0;0.798403194;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.199600798;0.199203187;0.988142292;0.397614314;0;0;0;0;17.46293245;25.99704579;0;0;0;0;0;0;0;0;0;0;0;0;26.64714495;10.37567084;0;;;;;;;;
5;424;54.27435388;20.67594433;21.27236581;0.994035785;0.596421471;0;0.198807157;0;0;0;0;0.795228628;0;0;0;0;0.795228628;0;0;0;0;0.198807157;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.198807157;0;0.592885375;0;0;0;0;0;11.44366197;23.556231;0;0.198412698;0;0;0;0;0;0;0;0;0;0;29.05500705;11.28747795;0;;;;;;;;
5.5;473;53.45167653;19.1321499;25.04930966;0.986193294;0;0;0;0.394477318;0;0;0;0.591715976;0;0;0;0;0.197238659;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.197238659;0;1.169590643;0.196850394;0;0;0;0;15.640599;26.30813953;0;0;0;0;0;0;0;0;0;0;0;0;27.67475036;9.946714032;0;;;;;;;;
6;521;49.40239044;17.72908367;29.88047809;0.996015936;0.398406375;0;0;0;0;0;0.199203187;0.996015936;0;0;0;0;0.398406375;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.37524558;0;0;0;0;0;17.43421053;25.8493353;0;0;0;0;0;0;0;0;0;0;0;0;23.24159021;9.712230216;0;;;;;;;;
